text,language,source,date_collected
She loves watching football matches.,english,manual_collection,2026-03-15
We go hiking every weekend.,english,manual_collection,2026-03-15
He plays the guitar in a band.,english,manual_collection,2026-03-15
I'm interested in learning photography.,english,manual_collection,2026-03-15
I need help! There's been an accident.,english,manual_collection,2026-03-15
Please call an ambulance immediately.,english,manual_collection,2026-03-15
Where is the nearest hospital?,english,manual_collection,2026-03-15
I've lost my passport. What should I do?,english,manual_collection,2026-03-15
Someone stole my phone on the bus.,english,manual_collection,2026-03-15
Why do she hate art?,english,manual_collection,2026-03-15
The teacher think to food at night.,english,manual_collection,2026-03-15
They understand to coffee often.,english,manual_collection,2026-03-15
I want art rarely.,english,manual_collection,2026-03-15
Why do i prefer movies?,english,manual_collection,2026-03-15
I prefer music rarely.,english,manual_collection,2026-03-15
Why do she think books?,english,manual_collection,2026-03-15
They enjoy books often.,english,manual_collection,2026-03-15
Everyone enjoy music at night.,english,manual_collection,2026-03-15
They enjoy movies rarely.,english,manual_collection,2026-03-15
Why do we love nature?,english,manual_collection,2026-03-15
Do you enjoy art?,english,manual_collection,2026-03-15
Why do my friend believe sports?,english,manual_collection,2026-03-15
He understand to nature rarely.,english,manual_collection,2026-03-15
Do you need nature?,english,manual_collection,2026-03-15
I love sports tomorrow.,english,manual_collection,2026-03-15
Why do i believe food?,english,manual_collection,2026-03-15
Do you love food?,english,manual_collection,2026-03-15
Do you love travel?,english,manual_collection,2026-03-15
Do you understand books?,english,manual_collection,2026-03-15
The teacher understand nature today.,english,manual_collection,2026-03-15
Do you like tea?,english,manual_collection,2026-03-15
Why do i enjoy coffee?,english,manual_collection,2026-03-15
Everyone understand music every day.,english,manual_collection,2026-03-15
Why do my friend believe travel?,english,manual_collection,2026-03-15
Why do she believe movies?,english,manual_collection,2026-03-15
Do you need music?,english,manual_collection,2026-03-15
Do you think coffee?,english,manual_collection,2026-03-15
She hate to food often.,english,manual_collection,2026-03-15
They understand to tea today.,english,manual_collection,2026-03-15
Why do i need tea?,english,manual_collection,2026-03-15
Do you prefer tea?,english,manual_collection,2026-03-15
The children believe to art in the morning.,english,manual_collection,2026-03-15
They love music tomorrow.,english,manual_collection,2026-03-15
My friend think to sports every day.,english,manual_collection,2026-03-15
The children need travel rarely.,english,manual_collection,2026-03-15
Do you need sports?,english,manual_collection,2026-03-15
Do you love travel?,english,manual_collection,2026-03-15
Why do she enjoy music?,english,manual_collection,2026-03-15
You love to movies sometimes.,english,manual_collection,2026-03-15
Do you like movies?,english,manual_collection,2026-03-15
The children enjoy coffee at night.,english,manual_collection,2026-03-15
Why do they understand travel?,english,manual_collection,2026-03-15
Why do she like movies?,english,manual_collection,2026-03-15
Do you need movies?,english,manual_collection,2026-03-15
He like to sports rarely.,english,manual_collection,2026-03-15
Do you love food?,english,manual_collection,2026-03-15
You like to music tomorrow.,english,manual_collection,2026-03-15
Why do you enjoy books?,english,manual_collection,2026-03-15
We enjoy nature tomorrow.,english,manual_collection,2026-03-15
We think to coffee rarely.,english,manual_collection,2026-03-15
Do you need music?,english,manual_collection,2026-03-15
Why do they believe food?,english,manual_collection,2026-03-15
He hate to coffee sometimes.,english,manual_collection,2026-03-15
Do you need books?,english,manual_collection,2026-03-15
He understand music every day.,english,manual_collection,2026-03-15
Why do i prefer art?,english,manual_collection,2026-03-15
Why do everyone hate music?,english,manual_collection,2026-03-15
My friend love tea often.,english,manual_collection,2026-03-15
We love food often.,english,manual_collection,2026-03-15
We like coffee tomorrow.,english,manual_collection,2026-03-15
Everyone understand to tea sometimes.,english,manual_collection,2026-03-15
Why do they enjoy coffee?,english,manual_collection,2026-03-15
The teacher love art in the morning.,english,manual_collection,2026-03-15
Why do i enjoy coffee?,english,manual_collection,2026-03-15
Do you love sports?,english,manual_collection,2026-03-15
My friend love to tea often.,english,manual_collection,2026-03-15
Why do i prefer tea?,english,manual_collection,2026-03-15
Do you believe tea?,english,manual_collection,2026-03-15
She want to movies every day.,english,manual_collection,2026-03-15
Why do my friend prefer tea?,english,manual_collection,2026-03-15
My friend need coffee in the morning.,english,manual_collection,2026-03-15
My friend think music often.,english,manual_collection,2026-03-15
Do you understand food?,english,manual_collection,2026-03-15
They understand music every day.,english,manual_collection,2026-03-15
We like music at night.,english,manual_collection,2026-03-15
Do you enjoy tea?,english,manual_collection,2026-03-15
My friend believe sports tomorrow.,english,manual_collection,2026-03-15
Do you like tea?,english,manual_collection,2026-03-15
The teacher believe travel sometimes.,english,manual_collection,2026-03-15
Why do i prefer food?,english,manual_collection,2026-03-15
I need food tomorrow.,english,manual_collection,2026-03-15
Do you believe art?,english,manual_collection,2026-03-15
The children like to art often.,english,manual_collection,2026-03-15
We want music today.,english,manual_collection,2026-03-15
Do you think food?,english,manual_collection,2026-03-15
They love music today.,english,manual_collection,2026-03-15
My friend need to music sometimes.,english,manual_collection,2026-03-15
Why do the children think books?,english,manual_collection,2026-03-15
The teacher hate to sports at night.,english,manual_collection,2026-03-15
They enjoy to movies tomorrow.,english,manual_collection,2026-03-15
Do you love nature?,english,manual_collection,2026-03-15
Do you believe books?,english,manual_collection,2026-03-15
Why do he prefer sports?,english,manual_collection,2026-03-15
We love to travel at night.,english,manual_collection,2026-03-15
You prefer to tea rarely.,english,manual_collection,2026-03-15
Do you believe movies?,english,manual_collection,2026-03-15
Everyone love art at night.,english,manual_collection,2026-03-15
They like to travel in the morning.,english,manual_collection,2026-03-15
We prefer movies in the morning.,english,manual_collection,2026-03-15
The teacher believe movies rarely.,english,manual_collection,2026-03-15
You hate nature tomorrow.,english,manual_collection,2026-03-15
Do you want music?,english,manual_collection,2026-03-15
I understand to tea at night.,english,manual_collection,2026-03-15
The teacher hate to nature today.,english,manual_collection,2026-03-15
My friend think travel every day.,english,manual_collection,2026-03-15
We understand to movies often.,english,manual_collection,2026-03-15
You hate travel at night.,english,manual_collection,2026-03-15
She need books sometimes.,english,manual_collection,2026-03-15
Why do my friend think movies?,english,manual_collection,2026-03-15
My friend love tea at night.,english,manual_collection,2026-03-15
You believe books at night.,english,manual_collection,2026-03-15
Everyone understand to movies tomorrow.,english,manual_collection,2026-03-15
Do you believe music?,english,manual_collection,2026-03-15
She need travel often.,english,manual_collection,2026-03-15
He want food sometimes.,english,manual_collection,2026-03-15
Why do i love travel?,english,manual_collection,2026-03-15
Do you hate sports?,english,manual_collection,2026-03-15
They understand nature rarely.,english,manual_collection,2026-03-15
You like to music often.,english,manual_collection,2026-03-15
Why do i want tea?,english,manual_collection,2026-03-15
She understand to travel sometimes.,english,manual_collection,2026-03-15
Everyone love to books sometimes.,english,manual_collection,2026-03-15
Do you enjoy movies?,english,manual_collection,2026-03-15
The children hate sports rarely.,english,manual_collection,2026-03-15
He think to tea at night.,english,manual_collection,2026-03-15
I think to music tomorrow.,english,manual_collection,2026-03-15
Why do she understand movies?,english,manual_collection,2026-03-15
Why do everyone think music?,english,manual_collection,2026-03-15
Do you believe nature?,english,manual_collection,2026-03-15
She need to movies today.,english,manual_collection,2026-03-15
I prefer to art in the morning.,english,manual_collection,2026-03-15
Everyone believe travel at night.,english,manual_collection,2026-03-15
The children understand art tomorrow.,english,manual_collection,2026-03-15
Why do everyone want travel?,english,manual_collection,2026-03-15
Do you hate sports?,english,manual_collection,2026-03-15
She love to food sometimes.,english,manual_collection,2026-03-15
Do you think coffee?,english,manual_collection,2026-03-15
You hate books today.,english,manual_collection,2026-03-15
Do you believe art?,english,manual_collection,2026-03-15
Why do we enjoy travel?,english,manual_collection,2026-03-15
Why do we understand movies?,english,manual_collection,2026-03-15
Why do they think nature?,english,manual_collection,2026-03-15
Do you love art?,english,manual_collection,2026-03-15
Do you like coffee?,english,manual_collection,2026-03-15
My friend understand art today.,english,manual_collection,2026-03-15
He believe to movies in the morning.,english,manual_collection,2026-03-15
They enjoy to movies at night.,english,manual_collection,2026-03-15
Why do i believe travel?,english,manual_collection,2026-03-15
Why do you need travel?,english,manual_collection,2026-03-15
